customer_id,age,gender,city,membership_tier,preferred_category,secondary_category,price_preference,customer_segment
CUST00001,36,Other,Chennai,Bronze,Fashion,Electronics,Budget,Frequent_Buyer
CUST00002,30,Female,Bengaluru,Bronze,Fashion,Beauty,Budget,Occasional_Buyer
CUST00003,37,Male,Jaipur,Bronze,Electronics,Beauty,Mid,Occasional_Buyer
CUST00004,45,Male,Kolkata,Bronze,Electronics,Grocery,Budget,Window_Shopper
CUST00005,29,Male,Kolkata,Bronze,Beauty,Electronics,Premium,Value_Seeker
CUST00006,29,Female,Jaipur,Bronze,Electronics,Gaming,Premium,Frequent_Buyer
CUST00007,46,Other,Bhubaneswar,Gold,Books,Grocery,Mid,Frequent_Buyer
CUST00008,38,Other,Hyderabad,Gold,Fashion,Electronics,Premium,Window_Shopper
CUST00009,27,Female,Ahmedabad,Silver,Fashion,Books,Mid,Occasional_Buyer
CUST00010,36,Female,Mumbai,Silver,Sports,Gaming,Budget,Value_Seeker
CUST00011,27,Female,Chennai,Platinum,Home & Kitchen,Books,Mid,Occasional_Buyer
CUST00012,27,Male,Hyderabad,Gold,Beauty,Grocery,Premium,Occasional_Buyer
CUST00013,34,Other,Pune,Bronze,Fashion,Home & Kitchen,Mid,Window_Shopper
CUST00014,18,Female,Delhi,Bronze,Grocery,Fashion,Mid,Occasional_Buyer
CUST00015,18,Female,Pune,Bronze,Gaming,Books,Premium,Occasional_Buyer
CUST00016,26,Male,Mumbai,Bronze,Fashion,Grocery,Budget,Value_Seeker
CUST00017,22,Female,Bhubaneswar,Platinum,Fashion,Books,Mid,Window_Shopper
CUST00018,34,Other,Mumbai,Silver,Electronics,Gaming,Mid,Occasional_Buyer
CUST00019,23,Female,Kolkata,Bronze,Beauty,Electronics,Budget,Value_Seeker
CUST00020,19,Male,Jaipur,Gold,Books,Beauty,Premium,Occasional_Buyer
CUST00021,45,Female,Delhi,Silver,Sports,Fashion,Mid,Occasional_Buyer
CUST00022,29,Female,Ahmedabad,Bronze,Electronics,Beauty,Premium,Window_Shopper
CUST00023,32,Male,Hyderabad,Gold,Books,Fashion,Premium,Frequent_Buyer
CUST00024,19,Male,Jaipur,Gold,Grocery,Gaming,Budget,Occasional_Buyer
CUST00025,27,Other,Bhubaneswar,Bronze,Home & Kitchen,Sports,Budget,Occasional_Buyer
CUST00026,32,Female,Kolkata,Platinum,Sports,Gaming,Mid,Occasional_Buyer
CUST00027,21,Male,Hyderabad,Bronze,Grocery,Electronics,Budget,Occasional_Buyer
CUST00028,35,Male,Bengaluru,Bronze,Sports,Electronics,Premium,Window_Shopper
CUST00029,26,Male,Chennai,Silver,Fashion,Beauty,Budget,Frequent_Buyer
CUST00030,29,Female,Kolkata,Bronze,Grocery,Fashion,Budget,Occasional_Buyer
CUST00031,26,Female,Bengaluru,Silver,Gaming,Sports,Premium,Frequent_Buyer
CUST00032,48,Female,Mumbai,Bronze,Gaming,Beauty,Budget,Occasional_Buyer
CUST00033,31,Female,Ahmedabad,Bronze,Gaming,Fashion,Premium,Occasional_Buyer
CUST00034,22,Other,Jaipur,Gold,Fashion,Electronics,Premium,Window_Shopper
CUST00035,39,Female,Ahmedabad,Silver,Sports,Fashion,Premium,Window_Shopper
CUST00036,21,Male,Kolkata,Bronze,Home & Kitchen,Books,Mid,Occasional_Buyer
CUST00037,33,Other,Jaipur,Silver,Gaming,Beauty,Mid,Frequent_Buyer
CUST00038,18,Other,Jaipur,Bronze,Sports,Electronics,Budget,Frequent_Buyer
CUST00039,20,Other,Delhi,Bronze,Grocery,Books,Mid,Window_Shopper
CUST00040,33,Male,Hyderabad,Bronze,Fashion,Beauty,Premium,Occasional_Buyer
CUST00041,38,Male,Kolkata,Silver,Electronics,Beauty,Mid,Occasional_Buyer
CUST00042,33,Other,Pune,Bronze,Books,Fashion,Mid,Value_Seeker
CUST00043,30,Female,Mumbai,Bronze,Books,Sports,Mid,Occasional_Buyer
CUST00044,29,Other,Hyderabad,Silver,Fashion,Electronics,Budget,Occasional_Buyer
CUST00045,18,Female,Chennai,Bronze,Fashion,Home & Kitchen,Premium,Value_Seeker
CUST00046,25,Other,Chennai,Platinum,Electronics,Gaming,Budget,Window_Shopper
CUST00047,27,Male,Jaipur,Bronze,Books,Electronics,Budget,Frequent_Buyer
CUST00048,41,Other,Chennai,Silver,Beauty,Fashion,Budget,Window_Shopper
CUST00049,35,Other,Kolkata,Gold,Electronics,Fashion,Budget,Occasional_Buyer
CUST00050,18,Female,Delhi,Silver,Home & Kitchen,Gaming,Mid,Occasional_Buyer
CUST00051,34,Male,Delhi,Silver,Electronics,Fashion,Premium,Occasional_Buyer
CUST00052,28,Male,Bengaluru,Bronze,Home & Kitchen,Books,Premium,Premium_Buyer
CUST00053,25,Male,Hyderabad,Silver,Electronics,Sports,Mid,Occasional_Buyer
CUST00054,37,Other,Delhi,Gold,Gaming,Books,Budget,Frequent_Buyer
CUST00055,41,Male,Delhi,Silver,Home & Kitchen,Books,Budget,Window_Shopper
CUST00056,40,Male,Mumbai,Bronze,Sports,Home & Kitchen,Budget,Occasional_Buyer
CUST00057,24,Female,Pune,Bronze,Sports,Grocery,Mid,Frequent_Buyer
CUST00058,29,Male,Kolkata,Bronze,Electronics,Gaming,Premium,Window_Shopper
CUST00059,34,Other,Jaipur,Bronze,Books,Home & Kitchen,Premium,Occasional_Buyer
CUST00060,40,Female,Delhi,Silver,Electronics,Fashion,Premium,Frequent_Buyer
CUST00061,27,Other,Pune,Bronze,Gaming,Home & Kitchen,Premium,Frequent_Buyer
CUST00062,30,Male,Kolkata,Bronze,Sports,Home & Kitchen,Premium,Occasional_Buyer
CUST00063,22,Female,Mumbai,Platinum,Sports,Home & Kitchen,Premium,Value_Seeker
CUST00064,21,Female,Jaipur,Bronze,Fashion,Gaming,Mid,Occasional_Buyer
CUST00065,39,Male,Hyderabad,Bronze,Books,Beauty,Premium,Value_Seeker
CUST00066,44,Other,Chennai,Bronze,Home & Kitchen,Beauty,Premium,Occasional_Buyer
CUST00067,31,Other,Bhubaneswar,Silver,Sports,Books,Mid,Occasional_Buyer
CUST00068,41,Female,Delhi,Silver,Sports,Beauty,Budget,Value_Seeker
CUST00069,35,Male,Chennai,Bronze,Beauty,Electronics,Budget,Frequent_Buyer
CUST00070,26,Other,Mumbai,Silver,Sports,Books,Premium,Occasional_Buyer
CUST00071,35,Female,Hyderabad,Bronze,Gaming,Sports,Mid,Window_Shopper
CUST00072,45,Female,Hyderabad,Bronze,Fashion,Grocery,Premium,Occasional_Buyer
CUST00073,31,Male,Mumbai,Silver,Electronics,Beauty,Premium,Value_Seeker
CUST00074,46,Female,Bhubaneswar,Gold,Beauty,Grocery,Premium,Occasional_Buyer
CUST00075,18,Other,Ahmedabad,Silver,Grocery,Fashion,Mid,Premium_Buyer
CUST00076,39,Other,Ahmedabad,Silver,Books,Grocery,Budget,Frequent_Buyer
CUST00077,32,Female,Pune,Bronze,Books,Fashion,Mid,Frequent_Buyer
CUST00078,29,Other,Delhi,Silver,Sports,Books,Budget,Occasional_Buyer
CUST00079,32,Male,Hyderabad,Gold,Grocery,Sports,Mid,Premium_Buyer
CUST00080,18,Other,Kolkata,Silver,Electronics,Grocery,Premium,Occasional_Buyer
CUST00081,30,Female,Jaipur,Silver,Gaming,Grocery,Mid,Value_Seeker
CUST00082,35,Male,Chennai,Bronze,Sports,Books,Budget,Occasional_Buyer
CUST00083,45,Male,Ahmedabad,Gold,Gaming,Beauty,Premium,Occasional_Buyer
CUST00084,27,Other,Bengaluru,Bronze,Gaming,Books,Mid,Window_Shopper
CUST00085,24,Female,Kolkata,Bronze,Home & Kitchen,Electronics,Mid,Occasional_Buyer
CUST00086,27,Female,Chennai,Gold,Gaming,Home & Kitchen,Mid,Value_Seeker
CUST00087,40,Male,Mumbai,Gold,Electronics,Sports,Mid,Premium_Buyer
CUST00088,34,Male,Bhubaneswar,Bronze,Sports,Fashion,Budget,Value_Seeker
CUST00089,27,Other,Chennai,Gold,Sports,Books,Budget,Value_Seeker
CUST00090,36,Male,Chennai,Bronze,Fashion,Grocery,Budget,Occasional_Buyer
CUST00091,32,Other,Hyderabad,Bronze,Gaming,Sports,Mid,Value_Seeker
CUST00092,40,Female,Bhubaneswar,Gold,Fashion,Gaming,Mid,Occasional_Buyer
CUST00093,25,Other,Kolkata,Silver,Electronics,Sports,Budget,Value_Seeker
CUST00094,29,Female,Ahmedabad,Bronze,Electronics,Grocery,Premium,Value_Seeker
CUST00095,28,Male,Kolkata,Bronze,Grocery,Beauty,Mid,Value_Seeker
CUST00096,18,Female,Bhubaneswar,Bronze,Grocery,Sports,Premium,Premium_Buyer
CUST00097,34,Female,Hyderabad,Gold,Fashion,Sports,Mid,Value_Seeker
CUST00098,34,Female,Pune,Bronze,Beauty,Electronics,Budget,Premium_Buyer
CUST00099,32,Other,Chennai,Silver,Beauty,Home & Kitchen,Mid,Frequent_Buyer
CUST00100,29,Female,Ahmedabad,Silver,Sports,Gaming,Budget,Occasional_Buyer
CUST00101,19,Male,Mumbai,Bronze,Grocery,Sports,Mid,Frequent_Buyer
CUST00102,28,Other,Jaipur,Bronze,Beauty,Sports,Premium,Occasional_Buyer
CUST00103,28,Female,Chennai,Bronze,Beauty,Gaming,Budget,Value_Seeker
CUST00104,24,Other,Jaipur,Platinum,Beauty,Electronics,Mid,Frequent_Buyer
CUST00105,30,Other,Bhubaneswar,Platinum,Grocery,Home & Kitchen,Mid,Occasional_Buyer
CUST00106,35,Male,Chennai,Bronze,Fashion,Grocery,Budget,Frequent_Buyer
CUST00107,48,Male,Bengaluru,Silver,Home & Kitchen,Sports,Mid,Frequent_Buyer
CUST00108,33,Male,Bhubaneswar,Bronze,Grocery,Electronics,Mid,Occasional_Buyer
CUST00109,34,Female,Mumbai,Gold,Electronics,Sports,Mid,Frequent_Buyer
CUST00110,31,Male,Bhubaneswar,Platinum,Electronics,Home & Kitchen,Budget,Frequent_Buyer
CUST00111,18,Other,Bhubaneswar,Bronze,Gaming,Books,Mid,Occasional_Buyer
CUST00112,31,Other,Kolkata,Bronze,Grocery,Home & Kitchen,Mid,Value_Seeker
CUST00113,32,Male,Hyderabad,Bronze,Fashion,Grocery,Budget,Frequent_Buyer
CUST00114,54,Male,Kolkata,Silver,Fashion,Home & Kitchen,Mid,Occasional_Buyer
CUST00115,30,Other,Chennai,Silver,Sports,Home & Kitchen,Mid,Value_Seeker
CUST00116,34,Other,Bhubaneswar,Silver,Books,Grocery,Premium,Occasional_Buyer
CUST00117,31,Male,Chennai,Gold,Sports,Gaming,Budget,Frequent_Buyer
CUST00118,21,Other,Bhubaneswar,Gold,Books,Beauty,Mid,Occasional_Buyer
CUST00119,42,Female,Chennai,Silver,Books,Gaming,Mid,Frequent_Buyer
CUST00120,38,Other,Pune,Silver,Electronics,Books,Budget,Frequent_Buyer
CUST00121,39,Other,Chennai,Silver,Electronics,Grocery,Mid,Frequent_Buyer
CUST00122,23,Male,Bhubaneswar,Bronze,Grocery,Home & Kitchen,Premium,Window_Shopper
CUST00123,44,Female,Pune,Bronze,Grocery,Home & Kitchen,Budget,Frequent_Buyer
CUST00124,19,Female,Chennai,Silver,Gaming,Beauty,Mid,Premium_Buyer
CUST00125,37,Male,Pune,Bronze,Electronics,Books,Budget,Premium_Buyer
CUST00126,51,Other,Ahmedabad,Bronze,Electronics,Gaming,Budget,Occasional_Buyer
CUST00127,23,Female,Bengaluru,Bronze,Grocery,Beauty,Mid,Window_Shopper
CUST00128,26,Female,Mumbai,Bronze,Grocery,Beauty,Mid,Premium_Buyer
CUST00129,32,Other,Bengaluru,Silver,Home & Kitchen,Sports,Budget,Window_Shopper
CUST00130,27,Male,Delhi,Silver,Fashion,Books,Mid,Occasional_Buyer
CUST00131,18,Female,Ahmedabad,Bronze,Books,Sports,Mid,Occasional_Buyer
CUST00132,32,Male,Chennai,Gold,Home & Kitchen,Grocery,Premium,Occasional_Buyer
CUST00133,22,Male,Chennai,Silver,Books,Grocery,Premium,Occasional_Buyer
CUST00134,36,Male,Ahmedabad,Silver,Grocery,Gaming,Budget,Occasional_Buyer
CUST00135,23,Female,Hyderabad,Platinum,Gaming,Sports,Budget,Occasional_Buyer
CUST00136,45,Female,Ahmedabad,Silver,Gaming,Electronics,Premium,Occasional_Buyer
CUST00137,24,Male,Delhi,Silver,Home & Kitchen,Books,Mid,Window_Shopper
CUST00138,29,Other,Ahmedabad,Bronze,Grocery,Electronics,Budget,Window_Shopper
CUST00139,39,Female,Chennai,Bronze,Home & Kitchen,Electronics,Mid,Value_Seeker
CUST00140,20,Other,Jaipur,Bronze,Beauty,Grocery,Budget,Value_Seeker
CUST00141,34,Other,Bengaluru,Silver,Grocery,Gaming,Budget,Value_Seeker
CUST00142,43,Other,Mumbai,Bronze,Books,Fashion,Budget,Value_Seeker
CUST00143,18,Male,Chennai,Gold,Fashion,Books,Budget,Premium_Buyer
CUST00144,33,Female,Kolkata,Bronze,Books,Home & Kitchen,Mid,Occasional_Buyer
CUST00145,34,Male,Mumbai,Silver,Home & Kitchen,Fashion,Mid,Value_Seeker
CUST00146,39,Male,Hyderabad,Silver,Grocery,Books,Budget,Occasional_Buyer
CUST00147,20,Female,Chennai,Silver,Electronics,Grocery,Budget,Occasional_Buyer
CUST00148,20,Female,Kolkata,Silver,Beauty,Books,Mid,Occasional_Buyer
CUST00149,36,Female,Mumbai,Bronze,Gaming,Grocery,Mid,Occasional_Buyer
CUST00150,34,Other,Kolkata,Bronze,Books,Electronics,Mid,Value_Seeker
CUST00151,34,Other,Ahmedabad,Gold,Electronics,Beauty,Premium,Premium_Buyer
CUST00152,35,Female,Hyderabad,Silver,Sports,Beauty,Mid,Value_Seeker
CUST00153,25,Male,Bengaluru,Bronze,Home & Kitchen,Gaming,Mid,Occasional_Buyer
CUST00154,34,Female,Pune,Silver,Home & Kitchen,Electronics,Budget,Frequent_Buyer
CUST00155,34,Other,Chennai,Gold,Beauty,Books,Budget,Premium_Buyer
CUST00156,25,Female,Pune,Gold,Grocery,Gaming,Mid,Frequent_Buyer
CUST00157,48,Other,Kolkata,Platinum,Sports,Grocery,Premium,Occasional_Buyer
CUST00158,36,Female,Jaipur,Bronze,Gaming,Electronics,Mid,Value_Seeker
CUST00159,21,Female,Pune,Bronze,Books,Beauty,Budget,Frequent_Buyer
CUST00160,37,Male,Mumbai,Silver,Beauty,Books,Mid,Value_Seeker
CUST00161,23,Male,Bengaluru,Platinum,Gaming,Electronics,Budget,Occasional_Buyer
CUST00162,39,Other,Delhi,Bronze,Fashion,Home & Kitchen,Mid,Window_Shopper
CUST00163,42,Other,Delhi,Gold,Gaming,Books,Mid,Premium_Buyer
CUST00164,24,Male,Pune,Bronze,Gaming,Home & Kitchen,Mid,Frequent_Buyer
CUST00165,40,Other,Pune,Silver,Beauty,Electronics,Premium,Occasional_Buyer
CUST00166,35,Male,Mumbai,Platinum,Gaming,Home & Kitchen,Premium,Frequent_Buyer
CUST00167,39,Other,Bhubaneswar,Platinum,Sports,Gaming,Budget,Occasional_Buyer
CUST00168,49,Other,Hyderabad,Bronze,Home & Kitchen,Grocery,Mid,Frequent_Buyer
CUST00169,29,Male,Pune,Gold,Sports,Grocery,Mid,Occasional_Buyer
CUST00170,25,Male,Delhi,Silver,Books,Grocery,Mid,Frequent_Buyer
CUST00171,23,Male,Pune,Gold,Electronics,Home & Kitchen,Budget,Occasional_Buyer
CUST00172,24,Male,Delhi,Silver,Home & Kitchen,Sports,Mid,Value_Seeker
CUST00173,31,Female,Jaipur,Silver,Grocery,Sports,Mid,Frequent_Buyer
CUST00174,35,Other,Jaipur,Bronze,Electronics,Gaming,Mid,Frequent_Buyer
CUST00175,34,Female,Kolkata,Silver,Grocery,Gaming,Mid,Window_Shopper
