product_id,product_name,category,subcategory,brand,price,average_rating,review_count,popularity_score,stock_status
PROD00001,BeautyPlus Makeup Product 001,Beauty,Makeup,BeautyPlus,718.71,4.8,114,0.797,Out of Stock
PROD00002,BeautyPlus Haircare Product 002,Beauty,Haircare,BeautyPlus,1240.4,4.5,90,0.85,In Stock
PROD00003,ComfortLiving Furniture Product 003,Home & Kitchen,Furniture,ComfortLiving,282.31,4.7,63,0.909,In Stock
PROD00004,UrbanStyle Men Product 004,Fashion,Men,UrbanStyle,6301.34,3.6,37,0.576,In Stock
PROD00005,StyleHub Men Product 005,Fashion,Men,StyleHub,4283.58,4.3,34,0.367,Low Stock
PROD00006,NovaTech Audio Product 006,Electronics,Audio,NovaTech,6281.85,4.0,60,0.882,In Stock
PROD00007,ActiveX Yoga Product 007,Sports,Yoga,ActiveX,592.15,3.9,14,0.629,In Stock
PROD00008,KnowledgeHub Self Help Product 008,Books,Self Help,KnowledgeHub,6985.97,3.3,16,0.546,In Stock
PROD00009,MoveWell Yoga Product 009,Sports,Yoga,MoveWell,1247.42,4.6,52,0.52,In Stock
PROD00010,SportMax Running Product 010,Sports,Running,SportMax,1155.63,4.8,164,0.538,In Stock
PROD00011,StyleHub Women Product 011,Fashion,Women,StyleHub,26362.2,3.7,31,0.495,In Stock
PROD00012,HomeCraft Appliances Product 012,Home & Kitchen,Appliances,HomeCraft,596.75,4.4,5,0.958,In Stock
PROD00013,ActiveX Yoga Product 013,Sports,Yoga,ActiveX,6329.87,3.3,138,0.569,In Stock
PROD00014,Harvest Snacks Product 014,Grocery,Snacks,Harvest,1167.18,4.0,19,0.843,In Stock
PROD00015,NovaTech Audio Product 015,Electronics,Audio,NovaTech,3693.47,4.8,107,0.708,In Stock
PROD00016,BookHouse Science Product 016,Books,Science,BookHouse,3034.13,3.8,287,0.661,Low Stock
PROD00017,Peak Fitness Product 017,Sports,Fitness,Peak,21534.86,3.9,46,0.686,In Stock
PROD00018,GoodFood Snacks Product 018,Grocery,Snacks,GoodFood,5609.84,4.4,51,0.953,In Stock
PROD00019,Casa Appliances Product 019,Home & Kitchen,Appliances,Casa,7843.0,4.5,72,0.626,In Stock
PROD00020,ComfortLiving Kitchen Product 020,Home & Kitchen,Kitchen,ComfortLiving,20238.42,3.4,68,0.641,In Stock
PROD00021,PlayMax Console Product 021,Gaming,Console,PlayMax,37634.02,4.1,53,0.823,In Stock
PROD00022,KnowledgeHub Science Product 022,Books,Science,KnowledgeHub,5222.16,4.6,63,0.636,In Stock
PROD00023,NatureBest Organic Product 023,Grocery,Organic,NatureBest,736.49,3.4,29,0.729,In Stock
PROD00024,DailyBasket Packaged Food Product 024,Grocery,Packaged Food,DailyBasket,1942.26,4.2,71,0.839,In Stock
PROD00025,Zenith Audio Product 025,Electronics,Audio,Zenith,7804.51,4.5,126,0.788,In Stock
PROD00026,BeautyPlus Haircare Product 026,Beauty,Haircare,BeautyPlus,1674.34,4.8,60,0.768,In Stock
PROD00027,DailyBasket Packaged Food Product 027,Grocery,Packaged Food,DailyBasket,797.06,3.2,26,0.886,In Stock
PROD00028,Aura Personal Care Product 028,Beauty,Personal Care,Aura,1169.55,3.3,62,0.728,Out of Stock
PROD00029,ModeFit Accessories Product 029,Fashion,Accessories,ModeFit,626.87,5.0,57,0.935,In Stock
PROD00030,Electra Mobile Product 030,Electronics,Mobile,Electra,6455.68,3.1,351,0.672,Low Stock
PROD00031,Casa Appliances Product 031,Home & Kitchen,Appliances,Casa,1102.01,4.5,44,0.837,In Stock
PROD00032,ModeFit Sportswear Product 032,Fashion,Sportswear,ModeFit,5797.62,3.8,27,0.522,In Stock
PROD00033,DailyBasket Organic Product 033,Grocery,Organic,DailyBasket,3739.69,4.8,183,0.885,In Stock
PROD00034,XCore Accessories Product 034,Gaming,Accessories,XCore,2991.06,3.9,25,0.828,In Stock
PROD00035,NovaTech Mobile Product 035,Electronics,Mobile,NovaTech,1138.88,4.2,166,0.658,In Stock
PROD00036,Glow Fragrance Product 036,Beauty,Fragrance,Glow,7943.62,3.8,143,0.83,In Stock
PROD00037,TechPro Mobile Product 037,Electronics,Mobile,TechPro,536.94,3.6,136,0.857,In Stock
PROD00038,UrbanStyle Footwear Product 038,Fashion,Footwear,UrbanStyle,127.6,3.6,103,0.741,In Stock
PROD00039,Harvest Packaged Food Product 039,Grocery,Packaged Food,Harvest,3948.21,4.2,323,0.403,In Stock
PROD00040,FreshChoice Organic Product 040,Grocery,Organic,FreshChoice,21998.19,4.2,145,0.881,In Stock
PROD00041,UrbanStyle Accessories Product 041,Fashion,Accessories,UrbanStyle,2441.36,3.2,70,0.815,In Stock
PROD00042,Aura Haircare Product 042,Beauty,Haircare,Aura,1457.2,4.9,119,0.712,In Stock
PROD00043,TrendX Sportswear Product 043,Fashion,Sportswear,TrendX,166.54,4.9,22,0.59,Out of Stock
PROD00044,GameTech Games Product 044,Gaming,Games,GameTech,1643.7,3.6,33,0.708,Low Stock
PROD00045,ClassicWear Sportswear Product 045,Fashion,Sportswear,ClassicWear,893.0,4.5,21,0.266,In Stock
PROD00046,XCore Games Product 046,Gaming,Games,XCore,5560.76,4.2,58,0.505,In Stock
PROD00047,PageTurner Science Product 047,Books,Science,PageTurner,680.04,3.5,26,0.812,In Stock
PROD00048,DailyBasket Organic Product 048,Grocery,Organic,DailyBasket,33252.98,4.7,35,0.295,In Stock
PROD00049,Casa Storage Product 049,Home & Kitchen,Storage,Casa,1446.96,4.1,29,0.69,In Stock
PROD00050,Harvest Breakfast Product 050,Grocery,Breakfast,Harvest,43374.86,3.9,23,0.901,Low Stock
PROD00051,TechPro Smart Home Product 051,Electronics,Smart Home,TechPro,2034.21,4.3,306,0.534,In Stock
PROD00052,PaperTrail Science Product 052,Books,Science,PaperTrail,1262.3,4.5,40,0.723,In Stock
PROD00053,SportMax Cricket Product 053,Sports,Cricket,SportMax,34071.92,3.9,86,0.773,In Stock
PROD00054,ActiveX Cricket Product 054,Sports,Cricket,ActiveX,368.68,3.6,23,0.66,In Stock
PROD00055,PaperTrail Science Product 055,Books,Science,PaperTrail,4052.93,4.3,392,0.65,In Stock
PROD00056,TechPro Mobile Product 056,Electronics,Mobile,TechPro,140.8,3.3,40,0.544,In Stock
PROD00057,BookHouse Self Help Product 057,Books,Self Help,BookHouse,1295.63,4.3,12,0.78,In Stock
PROD00058,SoundMax Audio Product 058,Electronics,Audio,SoundMax,517.17,3.9,84,0.55,In Stock
PROD00059,GameZone Controller Product 059,Gaming,Controller,GameZone,6878.67,4.8,34,0.747,Low Stock
PROD00060,MoveWell Fitness Product 060,Sports,Fitness,MoveWell,7530.55,3.8,55,0.515,In Stock
PROD00061,ReadWell Science Product 061,Books,Science,ReadWell,271.19,4.7,81,0.957,Low Stock
PROD00062,NatureTouch Personal Care Product 062,Beauty,Personal Care,NatureTouch,38478.15,3.9,143,0.751,Low Stock
PROD00063,FitPro Running Product 063,Sports,Running,FitPro,1457.89,2.6,108,0.856,In Stock
PROD00064,ReadWell Self Help Product 064,Books,Self Help,ReadWell,3622.93,4.1,24,0.491,Low Stock
PROD00065,NatureTouch Personal Care Product 065,Beauty,Personal Care,NatureTouch,2724.43,3.9,21,0.712,In Stock
PROD00066,Casa Decor Product 066,Home & Kitchen,Decor,Casa,6749.56,4.9,27,0.461,In Stock
PROD00067,TechPro Audio Product 067,Electronics,Audio,TechPro,638.57,4.6,15,0.319,In Stock
PROD00068,Aura Skincare Product 068,Beauty,Skincare,Aura,43594.12,3.7,68,0.76,In Stock
