interaction_id,customer_id,product_id,interaction_type,interaction_score,rating,quantity,timestamp
INT0000001,CUST00001,PROD00047,rating,0.79,3.0,1,2025-06-02
INT0000002,CUST00001,PROD00180,view,0.066,,1,2026-07-18
INT0000003,CUST00001,PROD00006,purchase,0.94,,1,2025-11-29
INT0000004,CUST00001,PROD00240,wishlist,0.417,,1,2025-03-29
INT0000005,CUST00001,PROD00114,purchase,0.905,,1,2025-10-13
INT0000006,CUST00001,PROD00099,cart,0.575,,1,2026-06-25
INT0000007,CUST00001,PROD00045,view,0.156,,1,2025-01-09
INT0000008,CUST00001,PROD00081,purchase,1.0,,3,2025-09-20
INT0000009,CUST00001,PROD00238,view,0.057,,1,2026-03-10
INT0000010,CUST00001,PROD00037,cart,0.627,,1,2025-11-06
INT0000011,CUST00001,PROD00032,view,0.137,,1,2026-06-16
INT0000012,CUST00001,PROD00014,purchase,0.94,,1,2025-01-23
INT0000013,CUST00001,PROD00047,wishlist,0.326,,1,2025-03-07
INT0000014,CUST00001,PROD00043,purchase,1.0,,1,2025-11-21
INT0000015,CUST00001,PROD00159,view,0.05,,1,2025-08-10
INT0000016,CUST00001,PROD00130,view,0.062,,1,2025-10-02
INT0000017,CUST00001,PROD00044,view,0.05,,1,2026-03-18
INT0000018,CUST00001,PROD00174,cart,0.699,,1,2025-04-11
INT0000019,CUST00001,PROD00035,cart,0.657,,1,2026-05-23
INT0000020,CUST00002,PROD00134,cart,0.577,,1,2025-08-04
INT0000021,CUST00002,PROD00184,view,0.121,,1,2026-03-21
INT0000022,CUST00002,PROD00036,rating,0.754,4.0,1,2025-03-05
INT0000023,CUST00002,PROD00142,cart,0.535,,1,2025-03-20
INT0000024,CUST00002,PROD00230,purchase,0.886,,2,2025-02-28
INT0000025,CUST00002,PROD00028,rating,0.814,5.0,1,2025-12-28
INT0000026,CUST00002,PROD00131,view,0.136,,1,2025-09-04
INT0000027,CUST00002,PROD00212,purchase,0.976,,1,2026-06-06
INT0000028,CUST00002,PROD00185,purchase,0.866,,1,2025-05-21
INT0000029,CUST00002,PROD00091,cart,0.592,,1,2025-09-11
INT0000030,CUST00002,PROD00222,cart,0.607,,1,2025-02-13
INT0000031,CUST00002,PROD00041,view,0.12,,1,2026-04-30
INT0000032,CUST00002,PROD00190,view,0.131,,1,2026-05-01
INT0000033,CUST00002,PROD00153,purchase,0.896,,2,2025-11-21
INT0000034,CUST00002,PROD00112,view,0.131,,1,2025-03-05
INT0000035,CUST00002,PROD00005,view,0.088,,1,2026-03-27
INT0000036,CUST00002,PROD00150,cart,0.705,,1,2026-02-15
INT0000037,CUST00002,PROD00197,view,0.074,,1,2025-04-06
INT0000038,CUST00002,PROD00211,view,0.05,,1,2025-11-29
INT0000039,CUST00002,PROD00249,cart,0.607,,1,2025-11-22
INT0000040,CUST00002,PROD00074,wishlist,0.345,,1,2025-11-22
INT0000041,CUST00002,PROD00001,view,0.062,,1,2026-02-21
INT0000042,CUST00003,PROD00099,purchase,1.0,,1,2025-08-05
INT0000043,CUST00003,PROD00089,purchase,1.0,,2,2025-05-16
INT0000044,CUST00003,PROD00082,view,0.069,,1,2025-08-04
INT0000045,CUST00003,PROD00173,view,0.084,,1,2025-10-19
INT0000046,CUST00003,PROD00192,purchase,1.0,,1,2025-10-11
INT0000047,CUST00003,PROD00248,rating,0.94,4.0,1,2026-06-13
INT0000048,CUST00003,PROD00029,view,0.126,,1,2026-02-22
INT0000049,CUST00003,PROD00154,cart,0.546,,1,2026-02-20
INT0000050,CUST00003,PROD00072,view,0.144,,1,2026-02-15
INT0000051,CUST00003,PROD00018,view,0.12,,1,2026-01-07
INT0000052,CUST00003,PROD00062,view,0.117,,1,2025-12-27
INT0000053,CUST00003,PROD00250,view,0.082,,1,2025-02-11
INT0000054,CUST00003,PROD00239,cart,0.654,,1,2025-03-07
INT0000055,CUST00003,PROD00230,rating,0.912,5.0,1,2026-01-18
INT0000056,CUST00003,PROD00232,purchase,1.0,,1,2026-06-19
INT0000057,CUST00003,PROD00112,view,0.059,,1,2025-09-10
INT0000058,CUST00003,PROD00237,purchase,1.0,,1,2025-06-06
INT0000059,CUST00003,PROD00015,cart,0.672,,1,2025-11-04
INT0000060,CUST00003,PROD00216,purchase,1.0,,1,2025-01-09
INT0000061,CUST00003,PROD00093,wishlist,0.405,,1,2025-01-17
INT0000062,CUST00003,PROD00232,view,0.116,,1,2026-04-17
INT0000063,CUST00003,PROD00028,view,0.135,,1,2026-01-06
INT0000064,CUST00003,PROD00126,purchase,0.944,,1,2025-11-12
INT0000065,CUST00003,PROD00041,rating,0.742,3.0,1,2026-07-04
INT0000066,CUST00003,PROD00211,view,0.097,,1,2025-03-13
INT0000067,CUST00003,PROD00211,view,0.093,,1,2025-04-20
INT0000068,CUST00003,PROD00192,purchase,1.0,,1,2025-04-26
INT0000069,CUST00003,PROD00145,purchase,1.0,,1,2026-04-23
INT0000070,CUST00003,PROD00213,view,0.111,,1,2025-05-02
INT0000071,CUST00003,PROD00153,view,0.108,,1,2026-03-13
INT0000072,CUST00003,PROD00051,view,0.133,,1,2026-06-28
INT0000073,CUST00003,PROD00100,purchase,0.993,,1,2026-05-15
INT0000074,CUST00003,PROD00036,view,0.14,,1,2025-09-18
INT0000075,CUST00003,PROD00141,cart,0.546,,1,2025-03-25
INT0000076,CUST00006,PROD00183,view,0.114,,1,2025-09-19
INT0000077,CUST00006,PROD00147,purchase,0.881,,1,2026-06-17
INT0000078,CUST00006,PROD00104,view,0.081,,1,2026-06-18
INT0000079,CUST00006,PROD00115,cart,0.539,,1,2026-06-17
INT0000080,CUST00006,PROD00230,rating,0.898,5.0,1,2025-07-01
INT0000081,CUST00006,PROD00011,rating,0.722,4.0,1,2026-04-30
INT0000082,CUST00006,PROD00216,view,0.092,,1,2025-03-06
INT0000083,CUST00006,PROD00235,view,0.071,,1,2025-05-05
INT0000084,CUST00006,PROD00197,view,0.13,,1,2025-11-19
INT0000085,CUST00006,PROD00030,view,0.151,,1,2025-04-06
INT0000086,CUST00006,PROD00104,purchase,1.0,,1,2025-05-17
INT0000087,CUST00006,PROD00248,purchase,1.0,,1,2025-10-06
INT0000088,CUST00006,PROD00104,view,0.112,,1,2025-05-04
INT0000089,CUST00006,PROD00207,view,0.128,,1,2025-08-05
INT0000090,CUST00006,PROD00233,purchase,1.0,,1,2026-03-29
INT0000091,CUST00006,PROD00021,cart,0.645,,1,2025-08-30
INT0000092,CUST00006,PROD00131,view,0.077,,1,2025-09-15
INT0000093,CUST00006,PROD00244,wishlist,0.376,,1,2025-07-23
INT0000094,CUST00006,PROD00062,view,0.125,,1,2025-06-11
INT0000095,CUST00006,PROD00116,purchase,0.972,,1,2026-04-04
INT0000096,CUST00006,PROD00035,view,0.071,,1,2026-03-17
